,miR-10-5p,miR-135ab-5p,miR-218-5p,miR-190-5p,miR-193-3p,miR-33-5p,miR-182-5p,miR-362-5p,miR-23-3p,miR-18-5p,miR-18-3p/7069-3p,miR-194-2-3p/6926-5p/7055-5p,miR-130-3p/301-3p,miR-103-3p/107-3p,miR-205-5p,miR-183-3p,miR-7-5p,miR-423-3p,miR-501-5p,miR-185-5p,miR-423-5p,miR-26-5p,miR-147-3p,miR-484,miR-378-3p,miR-22-3p,miR-652-3p,miR-374b-5p,miR-210-3p,miR-194-5p,miR-192-5p/215-5p,miR-196-5p,miR-324-3p,miR-27-3p,miR-141-3p,miR-1198-5p,miR-19-3p,miR-183-5p,let-7-5p/miR-98-5p,miR-200-3p/429-3p,miR-3081-3p,miR-125ab-5p/351-5p,miR-28-3p,miR-181-5p,miR-151-3p,miR-24-3p,miR-96-5p,miR-186-5p,miR-425-5p/489-3p,miR-17-5p/20-5p/93-5p/106-5p,miR-21ac-5p,miR-15-5p/16-5p/195-5p/322-5p/497-5p,miR-25-3p/32-5p/92-3p/363-3p/367-3p,miR-141-5p/6769b-3p,miR-16-1-3p,miR-200ab-5p,miR-191-5p,miR-221-3p/222-3p,miR-139-5p,miR-140-5p,miR-139-3p,miR-30-5p/384-5p,miR-340-5p,miR-181a-1-3p/181c-3p,miR-34-5p/449-5p,miR-106-3p,miR-671-5p,miR-30a-3p/30d-3p/30e-3p,miR-29-3p,miR-345-5p,miR-328-3p,miR-361-5p,let-7d-3p,miR-375-3p,miR-148-3p/152-3p,miR-153-3p,miR-146ab-5p,miR-31-5p,miR-132-3p/212-3p,miR-99-5p/100-5p,miR-28-5p/708-5p
26,ZC3HAV1,SLC26A2,TADA2B,,RNF217,ECHS1,IST1,MEF2A,ZBTB42,RAD51B,EPHB3,ZNF652,UXS1,MCM7,SPTBN1,,SMIM12,,DNAJC5,ATP11B,LLGL2,IFNAR1,FOXA1,CACHD1,SPATA2,CSNK1A1,,TTC1,ACVR1B,LPAR6,SERINC3,GLS,NEAT1,WBP2,SPTAN1,HSD11B2,SOCS1,ABHD17C,RANBP2,BCAS3,,C1QTNF6,,IFI44,IMPDH2,ACLY,LUZP1,PLAT,SMAD7,SLC36A1,NT5E,NARF,PLEKHM1,LY6D,CDHR5,,SLC20A1,GPR137B,MARVELD2,PPP2R3A,,MIER3,ZCCHC7,,PRDX6,,CABLES2,CNOT6,METRNL,KAT7,ANKRD52,NUPL2,,SMAGP,ERRFI1,ADAM10,SLC6A6,PRDX6,ALS2CL,,IFNAR1
27,IRS2,ENTPD7,PPP1R9A,,APAF1,SEMA7A,IMPDH2,GNL3L,ZNF519,DICER1,GATA6,GRN,SOAT1,AP2S1,PLPP1,,IFFO2,,MMADHC,GON4L,UBTF,ATP13A3,JARID2,LUZP1,MCL1,PTEN,,CANX,SLC38A1,FARP1,SPG20,ACADL,TBC1D13,PLEKHH1,LRRC8A,,FAM162A,ITGB1,MISP,MMD,,PLA2G6,,B4GALT1,SCAP,UBTF,EPHA2,N4BP1,ZNF618,MINK1,CBL,ACTR2,SLC38A10,RANGAP1,TMEM192,,ZNF217,LMAN2,ERBB2IP,BTG2,,ERBB2IP,DENND4C,,MISP,,PI4KB,KDM6B,ALOX15,PLEKHM1,SCRN2,NUP205,,TFRC,ASPH,CTNNB1,FAT1,UCK2,TLN2,,BAG6
28,EPS15L1,ANXA1,COPG2,,DNAJC7,DPY19L1,ARHGEF12,MPV17L2,RSAD2,KAT6B,SLC12A2,DCAF7,SFT2D2,USE1,TOP2B,,EPB41L4B,,TRPC4AP,NRAS,SOCS3,APP,TRIB1,HTT,EREG,CAPN1,,TNS4,ACAP2,GNPNAT1,NRAS,IHH,NEK6,HECTD1,KBTBD4,,CREBRF,UBA7,DOT1L,NMT1,,SMAD7,,GIGYF1,ADAMTS15,CASKIN2,EPB41L4B,RHOA,DDX6,ZZEF1,ZBTB41,CLTC,LPIN1,GXYLT1,ITGB1,,PLPP3,NDFIP2,SYVN1,HN1,,ANKRD28,TXN,,ANKRD52,,REG4,ACLY,CDK5RAP3,SPTLC2,RHOB,AAK1,,DGCR8,TSPAN1,ENOX2,ASAH1,PTPRK,DUSP9,,EPC1
29,,ITGA6,MXD1,,FAM120A,IDH3G,APOOL,,VTI1B,DAD1,YIPF5,TAOK1,TMCC3,COX5A,FAM208A,,RAN,,CA1,AGO3,PLEKHG3,PIM1,TNRC6B,ACOX3,PPTC7,DHRS9,,TOP2B,LIPG,ZDHHC20,FUBP1,TRIP12,EHF,BAZ1A,CDS2,,TNFRSF12A,KMT2A,CPM,MYL7,,HIF1AN,,BHLHE40,TMEM131,ATXN7L1,RASEF,G6PD,,FAM222B,GPA33,PYY,MYLIP,PDXDC1,SENP6,,DHCR24,CD2AP,AK3,AP3M1,,ZFR,KLF3,,DDIT4,,CHD7,KLF6,CCDC47,SERINC5,TNFRSF11B,MTPN,,KDM3B,HS3ST1,,BTG2,BCR,MSL3,,TXNL1
30,,TOP1,TMEM86A,,MAPK14,LYPD8,SMARCA4,,AREL1,RICTOR,ATG12,TOM1L1,EIF4ENIF1,ST14,KHSRP,,LMTK2,,CCNE2,FOSL2,MAP3K9,ACAT2,KMT2D,FBXL5,TRRAP,LIN7C,,LCOR,RALGAPB,FDFT1,SCMH1,POU2F1,PMEPA1,RALGAPA1,ZEB2,,PJA2,GCNT3,LRIG3,LGALSL,,TP53INP2,,TNRC6A,GCNT4,DAAM1,LRRC42,,,RMND5B,LAMC2,GPATCH8,CDHR2,ADAMTS1,SHISA5,,IFFO2,CDC5L,ZSWIM3,SBF1,,SBF1,PCBP1,,XAF1,,GTF3C2,JARID2,ARHGAP5,PPP2R2A,SLC12A6,COPS7A,,PPARGC1B,ATP2A2,,PRDX6,YWHAE,BTG2,,MALAT1
31,,ARHGEF26,AKAP13,,AFG3L2,NPM1,RDH10,,GMNN,DDX17,ST6GALNAC6,NOTUM,RNF145,EIF5B,PJA2,,ABHD2,,BHLHE40,TMEM248,PTP4A3,BAK1,SYNJ1,G3BP2,SEL1L3,ZNF106,,ANXA1,ATP9A,CCAR2,YTHDF2,ASCC3,ELF2,NSD1,ATP5G3,,TGIF1,SLC35A2,ZBTB39,TTC1,,S100A14,,ITGB1,SLC35B3,ZFYVE1,TNFRSF1B,,,CLTC,SFT2D2,ACOX1,SERINC5,VEGFA,UBE4A,,DFFA,PTEN,FNBP1,KCTD20,,RHEBL1,KDELR1,,NMT1,,PON2,ERAP1,HIF1A,SNRPD1,CCT3,TMC4,,PPP2R4,EIF4H,,GMDS,PPP1R9B,VPS54,,FRMD4A
32,,TPM3,EIF4G2,,TMEM134,RREB1,HINT1,,TNPO1,SLC38A2,ITGA6,ATXN7,EZH1,TOR1AIP2,ETF1,,FUS,,CMAS,CORO1C,PLA2G6,NR3C1,PIM1,GADD45A,AKAP13,POGZ,,TNRC18,SMAP2,FAM160B2,CCND2,RANBP2,SSBP3,PLK2,SERINC3,,ATL2,CSTF2,BAZ2A,CNOT6,,HDAC1,,WDR82,H2AFY,WARS,PDS5B,,,ORMDL3,PSAP,RHBDF2,SOX4,TTR,GCNT3,,RPS6KA1,PCK1,ATP5G3,MAGI1,,LMBR1L,SLC6A8,,LPO,,ERC1,GMDS,DYNC1H1,EIF1AX,TP53INP1,CEACAM1,,TANK,C1GALT1,,POLQ,ATP6V0A1,HOXB13,,SLC9A8
33,,TIFA,GUCD1,,SPINT1,FAM3D,AP2B1,,ATP12A,TMPRSS2,SKIL,EPPK1,ERN1,AIM2,AHNAK,,HIF3A,,GNL3L,ETNK1,PIM1,VLDLR,ATG2A,CIC,TBC1D10B,GNE,,,G3BP2,GRHL2,FUT2,UBE2G2,ABCA1,MIER3,MBNL1,,KDM3B,XIST,GINM1,HNRNPAB,,ABHD2,,TRAK1,OXCT1,HIST1H2BM,SDAD1,,,STAT3,TMCC3,MTHFD1,FAM120A,CTNNA1,DNAJC13,,YWHAG,TIPARP,ADNP,SERTAD3,,ABAT,YIPF6,,NFE2L1,,SUV420H2,SLMAP,MARK3,NOL4L,MFSD2A,CDH1,,LGR4,AAK1,,FAM160B1,HNRNPAB,RPL27,,FASTKD5
34,,MECOM,TRIM25,,RPS21,NIPBL,SPAG7,,BORA,KDM3B,ANP32E,SMAGP,RAD51B,IHH,FUBP3,,CLDN23,,,UBE2H,AQP4,MS4A7,CRNKL1,FUS,FAT1,SRI,,,TRAFD1,NSMCE2,EIF3C,MIDN,HIP1R,GOLM1,CRYZ,,GDA,SMYD3,UTRN,CPD,,RPLP2,,SLC25A36,EIF4G1,TMED9,TPI1,,,EZH1,AFF4,SIPA1L1,SLC4A7,AHNAK,PRKX,,CCND2,MCL1,TPM3,MT-ND2,,CBLB,PICALM,,RAB5C,,VASP,RB1,RALGAPA1,ZNFX1,TINAGL1,MT-ND5,,SEMA6D,EXOC6B,,CACFD1,ELMSAN1,SPTSSA,,S100A14
35,,CASZ1,GSPT1,,TSC22D2,SLC35A4,KPNB1,,DNAJC3,MYOF,SNX27,B3GALT5,HBP1,TUBA4A,TOP1,,ATM,,,CREB3L2,DIAPH1,C10orf76,B4GALT5,RBM42,SHISA5,RAB35,,,KLHDC10,ARID2,KDM6A,DOT1L,AAK1,SDHA,SH3GLB1,,CACUL1,ZBTB39,PRDM1,RPS6KB1,,KMT2B,,PLEKHB2,TOP1,NSUN2,NOVA2,,,ITSN2,RNF167,EIF2B2,CNIH1,SEMA4G,PCMTD1,,TBC1D9,GNAI3,MCL1,HIST1H2AJ,,IFNGR2,,,PLEKHM1,,HNRNPUL1,RICTOR,KLHL28,TMEM234,DMBT1,,,DUOX2,DYRK1B,,ENO1,SFXN1,NEMF,,LUZP1
36,,LSM8,PHLDB2,,OSTC,AHNAK,PLEKHG3,,SLMAP,PDLIM1,RAD23B,LIPH,CFL2,BTG2,ADH5,,MAOA,,,DYRK1B,NEAT1,PKP4,ZNF217,CTTN,BCOR,RSBN1L,,,CYFIP1,TRAPPC9,MSN,DAPK3,ING4,TNPO1,RAB2A,,TOR1B,ANKFY1,EIF4EBP2,YPEL2,,DDX6,,PIGR,CRNKL1,TMEM167A,ANKRD27,,,ASAP2,TOB1,NEMF,EXOC5,TM9SF3,SLC40A1,,ZFHX3,NSMAF,GNAI3,,,NAGPA,,,NOTUM,,IFITM2,RNF19A,ZFP36L1,TCEA3,,,,SPPL2A,TNRC6A,,MLLT3,SLC9A3,CLMN,,KLF4
37,,SLC25A13,SRPK1,,KMT2E,SH3GLB1,MARK3,,GPRIN2,SH2D3C,IFFO2,LIPG,SOS2,ATP1B1,PDE4DIP,,TPP2,,,TJP1,LRRC8A,UBE2E3,HMGCS2,KATNB1,B3GNT7,RASSF6,,,CCND1,HACD2,MORF4L2,MGAT4C,BCKDHA,IPO11,KLF4,,FAM102A,TUG1,SBNO2,PRR11,,SMAD6,,TOR1AIP2,PNRC1,HIST1H2BE,TNRC6A,,,PXDN,CANX,JARID2,DOCK5,TMEM127,HNRNPAB,,ATP1B1,PTBP3,PARS2,,,SOCS1,,,SLC9A3,,PARD3B,TWF1,FAF2,G3BP2,,,,RALGAPA2,ARHGAP35,,FRYL,GPRIN2,KLF5,,UBE3C
38,,NDUFA4,KHSRP,,CD38,SCMH1,FLNB,,MGAT3,KBTBD4,RCC2,SYVN1,ZFYVE26,BSG,ATP1A1,,B3GNT7,,,IQGAP1,TMEM127,SEMA6D,NRD1,HGSNAT,ATF3,HNRNPL,,,MSMO1,ZFAND3,UTY,ZBTB39,ARHGEF17,FLNB,CD38,,PTGS1,NFE2L1,MKNK2,TOM1L1,,RPS6KA3,,IGSF9,TNFRSF1B,FAM120A,BABAM1,,,CCDC71L,RHOB,NSD1,CHMP7,NDUFAF5,SEL1L,,SOCS2,KMT2E,CCNG2,,,PAK2,,,IL6ST,,ATG16L1,HIF1AN,SERINC5,TPCN1,,,,CA2,ARL6IP1,,KLK1,PPP2R2A,LRRC58,,SETD5
39,,WNK1,LGR4,,SRSF9,TES,MAPK13,,PRR5,SURF4,PUS1,LGR4,MAP3K9,ANKRD52,PARS2,,ANO7,,,DDX6,SGK2,CAMSAP1,PPTC7,EI24,MNT,CYFIP1,,,CHST4,TRIM31,PARP1,GINM1,CCND1,PPIF,GIGYF1,,PPIG,ARRDC3,LRP1,GPATCH8,,GLA,,EPHA4,SLC38A7,UBQLN1,CMIP,,,SUSD6,DSP,PLK2,TOB2,DTD1,FAM83H,,TMEM98,RCHY1,RCHY1,,,CHD1,,,SOX4,,ELK4,SEPHS1,FAM120A,EXOC4,,,,DDAH1,OTUD4,,TNRC6A,MUC4,WRB,,FOXP1
40,,PPP1R37,ZNFX1,,FRYL,USP47,FOXN2,,CPSF1,CREB3L1,SEMA4B,SDCBP2,AREL1,MYB,TSPAN1,,F11R,,,ADIPOR1,ZNF217,NOL4L,CASP3,VSIG1,FUT8,CTSC,,,RDX,BIRC6,MYO1B,POLRMT,SEMA7A,LPAR6,MYADM,,ITGA6,FAM83H,PLA2G3,GOSR2,,IVNS1ABP,,CDK18,,GOLM1,KMT2A,,,HBP1,SERINC5,E2F3,LMBR1L,PTPRJ,KANK1,,CD2AP,CHCHD3,FZD4,,,SPAST,,,BMPR1A,,PTPN14,NEK6,FAM193B,SLC35B4,,,,PRKCZ,FMR1,,OTUD4,USF3,KALRN,,KLK1
41,,DEAF1,DEPDC5,,CLDN4,TNRC6A,PPP1CA,,CBX5,MYNN,ZFP36,CTNND1,TC2N,XPOT,CCNG2,,FAM168B,,,MFSD4,STK40,EIF4E,IRF2BP2,DCAF8,PLEC,FBXL19,,,TCTA,BRD2,NAB1,SBNO2,VPRBP,RNF139,TNRC6A,,PAK6,MDFI,VPS54,CCDC47,,ATP1B1,,MDM4,,ICE1,FHL1,,,EGLN3,SRD5A1,SLC35B3,IL10RB,APH1A,FBXL5,,HARS,CCND2,GCSH,,,CCNF,,,TIGD5,,ACADL,THBS1,SRD5A1,ZC3HAV1,,,,NDUFA4,ATP7A,,DDX3X,DGCR8,MARCH2,,PHLPP2
42,,GSTA4,RNF216,,SETD5,PVRL2,ANXA1,,LPP,PLRG1,IRF2,POGZ,ARID4B,DGKA,ACTB,,TSN,,,ELF3,GBA2,SARS,ADAM10,LAMB3,SMAGP,MMP7,,,JARID2,DDR1,MCU,CCT2,GCNT3,TMBIM6,PDP2,,PDIA3,NDST1,PUS10,PRKCA,,MTMR12,,FOXO3,,TMEM253,MGAT4C,,,ZFYVE26,LPAR6,NUP153,MAN2A1,DDAH1,CDKN1B,,TMEM234,,ST14,,,SOS1,,,PRR5,,RABGAP1L,SGK2,FAM208A,FBXO22,,,,ITGB1,ELK4,,MSL3,TCP1,LARS,,FHOD1
43,,BCOR,PAF1,,RPLP2,DOK4,SSFA2,,ACAP2,ADH1C,CBL,IFI44,ZNF274,SKP1,NDUFA4,,INSIG2,,,DGKA,KLF4,UBE2J1,MID1IP1,KANSL3,LITAF,WDR82,,,TRIB1,CTNNA1,CLTC,HMGA2,HCFC1,HNRNPA1,HMG20A,,SRXN1,LIPG,BCL11A,RRM2,,PHF20L1,,CABIN1,,BCL2L2,GNA11,,,SEL1L,TSC22D1,FBP2,PKDCC,IMPAD1,TJP1,,AGO3,,ELF3,,,RNMT,,,MYH9,,LRIG3,RALGAPA2,PBRM1,FAM46A,,,,VSTM5,PIGM,,TCIRG1,PGP,IFIT1,,CFDP1
44,,PERP,ITGB1,,CEACAM1,HERPUD2,NR6A1,,PARP14,LRCH4,SMAD6,MFSD2A,SLC12A7,SH3BP5L,TAT,,ACTR3,,,ERBB2,PHACTR4,TDRD7,YIPF6,IGFBP5,FEZ2,NBEAL2,,,MAPK1,TMX3,NPEPPS,MARS,GAS5,FAM84B,ADAM10,,CAMSAP1,PSD4,STK10,TSSC1,,HIC2,,MKNK2,,TNFRSF19,ESYT2,,,TC2N,AP3M1,JMY,SIK1,SIGMAR1,GAB1,,CYP51A1,,ATP1B1,,,ZNF516,,,KMT2D,,TMEM94,HELZ2,GLUD1,,,,,RDX,GLS,,,AHNAK,STIP1,,ADAM10
45,,MAP2K3,LYSMD2,,BIRC2,TMA7,BLCAP,,HLA-A,RPS13,BTG2,TINAGL1,IL6ST,CLUH,COPS7B,,POLR2A,,,AGR2,GIGYF1,HECTD3,,TMBIM1,AHNAK,BRWD3,,,ARHGAP12,PPP1R14B,SRSF5,LRP1,BAZ2A,PLA2G6,CLASP2,,BAZ2B,FMNL2,ATP10B,YLPM1,,TUBB,,DYRK2,,CHMP7,RHOB,,,ATG2B,PCBP2,TNPO1,TGIF1,ZFYVE9,,,ETHE1,,VDAC1,,,ATG12,,,SNX4,,ITPK1,CSDE1,WAPL,,,,,ASTE1,SOAT1,,,MYOF,NAA40,,EFNB1
46,,RNF213,TBC1D2B,,ADAMTS15,,B4GALT5,,SMCHD1,ROCK2,PERP,ZDHHC18,SDHA,TSR1,GLUL,,KRT19,,,TMEM14C,SCARB2,EPHA2,,CNPPD1,TCF7L2,LIG1,,,ATG2A,SLK,JAG2,DGKA,ROCK2,PACSIN2,CBL,,CD44,TP53INP2,FSTL4,DYNC1H1,,RPL7L1,,PIP4K2C,,FAM160B2,GLRX,,,ANKRD9,TNFRSF11B,MARVELD2,GRAMD3,AFF1,,,TNRC6A,,DCAF7,,,ADRA2A,,,ALG3,,YWHAZ,ZCCHC7,LPAR6,,,,,TBCEL,NR2C1,,,PHGR1,PLAGL2,,KDM5C
47,,ABR,NCK1,,ZFX,,ATP11B,,DMXL1,REEP4,RNF217,SZRD1,FHIT,RNF43,NCOA2,,ARHGDIA,,,HMGCS1,COPG1,SMU1,,TUBA4A,CERS6,COX5B,,,HM13,ATRNL1,DSP,PLA2G3,ACVR1B,PLXNB2,KMT2A,,SKIL,SEMA4A,FAM83G,CRIP2,,ABLIM1,,MYL6,,MGAT3,HMGCS1,,,SPIN1,CREBBP,PIK3R1,CCNY,GARS,,,GPC4,,ABR,,,TCF7L2,,,PPP1R10,,SBF1,ZNF618,BORA,,,,,TMPRSS4,DDIT4,,,ZNF217,ZNF217,,CUL4B
48,,TRAF4,MT-ND5,,RDH10,,ARHGEF26,,EPG5,ARID2,MYL6,FOSL2,ERO1L,COX11,AFF3,,FOS,,,GOLM1,PARP12,ZDHHC18,,CDK18,DYNC1I2,USP37,,,TP53INP2,NEAT1,FLNB,VPS54,TCF7L2,SLC38A2,PDCD6IP,,MBNL1,B4GALT1,SCO1,ESYT2,,HSPA5,,HNRNPH1,,EIF4B,GOLM1,,,SLC12A7,CAMKMT,SLC4A7,DSC2,STRN4,,,GK,,SLC26A3,,,DNMBP,,,CSNK1A1,,TCF7L2,CCNG2,TM9SF2,,,,,FHL1,UNC5B,,,MBNL1,GLMP,,CASC3
49,,ORMDL3,,,SPATS2L,,PPM1L,,AHNAK,SNRPD1,CLTC,TET3,TMEM55B,COL1A1,RANBP2,,MAP3K9,,,MAST4,CNBP,VPS13D,,DHX9,TTC17,TMBIM4,,,ZNF217,SLC3A2,FAM208A,CLINT1,MARCH7,EIF4G1,VBP1,,OTUD7B,HS3ST1,TRAPPC1,CFL2,,SORT1,,MMD,,SUB1,SDHA,,,GCNT4,CCNF,ZMIZ1,GAREM1,AMPD3,,,PICALM,,PPP2R5E,,,SEMA6D,,,PDCD4,,MALAT1,OASL,XPO7,,,,,ZDHHC15,SLC25A3,,,GSTM5,TET2,,DLST
50,,DEGS2,,,OSTM1,,S100A14,,GNA14,KDM2A,ORMDL3,SERTAD3,SEMA5A,THRA,SEPT10,,ENC1,,,KCNMA1,TRIM28,CD38,,BSG,S100A14,DDIT4,,,PPTC7,TOR1B,ANKRD28,IRF1,TOX,MYLK,KIF21B,,F3,KLK1,CLUH,SEC23A,,TNFRSF1B,,LASP1,,TSTA3,CTSB,,,GFM2,OSTF1,TMEM110,TRIM36,TNRC6A,,,,,FNDC3A,,,SLC30A4,,,RABGAP1,,SPTAN1,PUS1,RB1,,,,,,RTN4,,,DKK2,RSRP1,,F2RL1
51,,GOLM1,,,ANK3,,FRY,,RFK,PCNXL3,MTMR6,KLK1,CPQ,AXIN2,NCLN,,NET1,,,RHOBTB2,HNRNPUL1,MKLN1,,SCAMP4,PI4KB,CCM2,,,NDUFA4,PRRC2B,ADAMDEC1,FAM83G,LMTK2,FSTL1,BTG2,,PDE5A,AKAP13,FAM222B,SEL1L,,CD38,,TMEM94,,FAM83H,KLF5,,,SLC22A23,TM9SF3,GNL3,UHRF2,VASP,,,,,LPP,,,SPPL2A,,,ARHGAP1,,TTC17,TMEM43,EXT1,,,,,,KPNB1,,,DHCR24,PNRC1,,LMO7
52,,MYC,,,CCDC6,,AAK1,,TNKS2,ARHGAP1,TUBA1C,ABHD2,PHF20L1,PRKAR1A,ARRB2,,FAM208A,,,ACVR1B,PLEKHG2,UBN2,,MFSD12,ETHE1,RAB1A,,,RRM1,FAM102A,NOL12,COL1A1,DHX32,MORC3,DHX9,,RAPGEF2,,SLC46A1,SFXN1,,SHROOM3,,MAT2B,,LMBR1L,RPL15,,,LYRM4,STK40,TMEM55B,PGAM1,SH3RF1,,,,,IFNAR1,,,PLAGL2,,,OGFR,,UBR1,HOXA7,POLDIP3,,,,,,SOS2,,,KLHL9,PPM1G,,DOPEY2
53,,SUB1,,,EZH1,,EMC10,,DUSP5,SMU1,BRWD1,QPCTL,TRIO,ITGB4,ATP2A3,,MFSD5,,,PLA2G6,ZFP36,MAT2A,,UTRN,BCAT2,SPECC1,,,CASP3,CERS6,DAZAP2,ZNF652,SF3B3,ZNF597,PRDX6,,ZBTB7B,,RNF135,SMAD5,,PPP1R37,,SENP3,,TFRC,H1F0,,,POLR3G,AACS,SQLE,HPS6,IST1,,,,,DIRC2,,,METAP1,,,COBLL1,,S100A14,VBP1,VDR,,,,,,EDN1,,,BAZ1B,G3BP2,,EFNA1
54,,TSTA3,,,SLC39A11,,IQGAP1,,NEAT1,NCOR2,MS4A8,RBM42,AGO2,METRNL,STC2,,BRD1,,,SOCS1,RBM42,TET3,,FOXO3,KLF13,ZZEF1,,,IRF2BP2,DHRS9,B3GALT5,CDK12,FMR1,RUNX1,ATP1B1,,HIPK1,,CDK12,COL4A3BP,,MAP2K7,,CANT1,,USF3,ABAT,,,MAST4,RELL1,LY6E,FAM160B1,ANP32A,,,,,FAM162A,,,CCNE2,,,NFE2L2,,SH3BGRL3,SH3BGRL,CCNT1,,,,,,IL6ST,,,CCNI,FOXP1,,MLXIP
55,,PPP1R10,,,SLC26A3,,SEPT7,,TJP2,CMIP,FUBP3,COL4A2,TFRC,IGFBP3,THG1L,,USF3,,,KCTD20,CAPN5,FRMD4B,,ERBB3,CDC16,PITPNA,,,MID1IP1,VPS16,DSG2,ERBB2,SMC1A,ITPR3,SCML4,,RAP1A,,AXIN2,CLTB,,PAFAH1B2,,PDIA6,,B3GALT5,ANKS3,,,ATXN7,GNG12,EP300,ATRNL1,ADAM10,,,,,APP,,,SSBP3,,,F3,,MTF2,RDH10,LIMA1,,,,,,RNF44,,,C1GALT1,RHOG,,REG3G
56,,DIAPH1,,,PAPOLA,,DOPEY1,,TOR2A,GLCE,AFF1,TNPO2,DCBLD2,MAT2B,VMP1,,IFNGR2,,,PDE9A,TBC1D10B,ERC1,,RTN4,,SLC16A5,,,KDM6A,DNAJC5,ERCC3,MSL1,COL1A2,TBL3,CCDC6,,PIK3R3,,COG1,HMGCR,,YIPF6,,TMEM30B,,TMEM186,KCTD20,,,LRP10,TET3,SCRIB,SH3PXD2A,NEDD4,,,,,BIRC6,,,USP48,,,CHD7,,FOXP1,IMP4,IL1RAP,,,,,,SDHA,,,CLCN3,SNX25,,LRP6
57,,ZNF217,,,DYNC1H1,,RPLP1,,NEK6,,CCND2,JUNB,BRWD1,MAPK7,RAB5C,,PARP14,,,TAPBP,CC2D1A,CCND2,,CDK12,,MFSD11,,,,LY75,SLC12A2,MFSD11,,FAM234A,ANKRD52,,PNRC1,,SLC16A5,FCHO2,,,,ZFYVE1,,PARP14,FEM1C,,,ERO1L,PAIP2B,EPPK1,ITGA6,SORL1,,,,,RAB18,,,ABCA1,,,MARCKSL1,,CAPNS1,TNFRSF11A,EHHADH,,,,,,HMGCR,,,IFI30,PPIB,,LRRK1
58,,EPS8L3,,,TRIB2,,FLNA,,CELF1,,TSKU,CFLAR,SMOC2,CLTC,HECTD1,,PPP4R1,,,SLC12A2,DOK4,CYFIP1,,IGFBP4,,KRT20,,,,HELZ2,AHNAK,TNRC6C,,MDFI,CABIN1,,FAM214B,,LLGL2,PIK3R1,,,,DEGS2,,NR1I2,MALAT1,,,CRYL1,PCBP1,LRCH3,SSFA2,DDX3X,,,,,RNF138,,,SLC35D1,,,MFSD2A,,ARRDC4,MGAT4A,ACAP2,,,,,,ATXN7,,,FBXO31,UBA7,,MT-CO1
59,,DDAH1,,,TMED9,,PIGR,,SEMA6D,,WDR82,NAB1,KCTD20,TOP2A,SEC23A,,EZR,,,ABHD17B,EDC3,TNRC6A,,ITGB4,,SLC38A10,,,,MEX3A,KANK1,THG1L,,CEP192,RTN4,,OSBPL9,,TNRC6C,MAP3K1,,,,MBOAT1,,MAPK14,CWF19L1,,,MYO10,SH3RF1,B3GALT5,BCL2L11,KDM6A,,,,,ATP9B,,,RPS6KA1,,,TINAGL1,,PSD3,SEC63,APP,,,,,,PHF20L1,,,ARHGEF12,AGAP1,,UBOX5
60,,ZDHHC18,,,GOLM1,,NCL,,SYS1,,EI24,TRIP12,UNC5CL,KRT20,VTI1B,,TUBB,,,CTSA,TMEM45B,FBXL19,,LIMK2,,DNMT3A,,,,UBAP2L,ZDHHC6,UBE2B,,HBEGF,PHYKPL,,RNF11,,SLC16A3,ITGA2,,,,ERAP1,,HLA-DRB5,COL5A1,,,NSMCE2,N4BP1,PLA2G10,OSBPL2,UTY,,,,,FAM160B1,,,PPTC7,,,ZDHHC18,,NFRKB,HERC4,BRWD1,,,,,,TIGD5,,,IHH,MGAT4A,,
61,,CD38,,,VCL,,INSIG2,,SLC9A8,,,UBE2G2,TRIP10,PYY,AREL1,,RIC1,,,GCN1L1,TRAPPC4,FUS,,NPEPPS,,ATAD2B,,,,GNAI3,TOR1B,SPAG7,,SEMA6A,SDF2,,VPS13D,,ZNRF3,SLC4A7,,,,UBQLN1,,PPP1R10,ITGA6,,,PHF20L1,FAM46A,SEPT5,IFIH1,F11R,,,,,GDA,,,GIGYF1,,,ARHGEF10L,,PPIB,OSBPL8,ARID1B,,,,,,TRIO,,,IKBKE,DOT1L,,
62,,MAU2,,,PDPK1,,MDM4,,CDC123,,,LYPD8,SIK1,RHBDF2,NSUN2,,PCNXL3,,,FBRSL1,OGT,ARRDC4,,GGA3,,PDIA6,,,,TDRD7,ZNF106,DERL2,,SLC26A2,TRIM25,,NRBP1,,THG1L,PBRM1,,,,TNPO1,,PLEKHH2,SLC25A25,,,TNRC6B,TGFBR2,ADAMTS1,NCKAP1,H3F3A,,,,,UBR3,,,CLOCK,,,CCNG2,,MST1R,CANX,KCTD20,,,,,,LMBR1L,,,SMYD3,PUM2,,
63,,MT-ND1,,,CELF1,,RGS2,,TUBB4B,,,NT5C,XDH,DCXR,ERAP1,,SEMA6D,,,AAK1,LAMP2,TMEM192,,CSNK1D,,HECTD1,,,,CACHD1,SNX5,CPD,,RAB27B,ITGB4,,LRRC8D,,UBE2B,MTMR6,,,,KLF5,,EPAS1,CAPRIN1,,,FAM84B,MT-ND5,TCP1,NOL4L,PEX7,,,,,CA13,,,SERPINE1,,,SEC31A,,CDC25A,SERINC5,RNF39,,,,,,PPP1R10,,,YLPM1,HIST1H4B,,
